id	ppi.weight	ppi.age
51863	25.7	65
51866	29.7	65
51867	21.2	65
51870	28.2	65
51871	23.1	64
51875	24.8	63
51876	37.6	64
51877	25.2	108
51878	28.5	63
51881	32.8	108
51882	36.9	108
51883	23.1	107
51886	39.7	108
51890	30.5	107
51891	26.3	101
51892	35.7	101
51896	40.1	99
51897	24.5	99
51901	23.0	97
51902	34.4	97
51905	24.0	95
51906	28.4	95
51910	31.3	95
51911	22.6	95
51913	23.2	91
51914	36.3	91
51916	24.8	84
51920	29.1	82
51923	19.8	84
51924	28.2	83
51927	23.6	82
51930	34.6	83
51933	22.6	83
51935	26.5	83
51936	28.9	81
51940	27.3	82
51941	21.7	81
51944	31.6	82
51947	24.5	82
51949	19.4	82
51950	26.8	81
51953	22.2	81
51956	31.0	82
51959	18.5	82
51961	22.5	82
51962	29.1	82
51965	17.4	82
51966	27.5	82
51971	27.2	82
51972	31.9	82
51976	25.1	82
