Animal #,CC,Sex,Gen,DOB,Family,Sire,Dam,Sire,Dam,Home.Cage
51612.1,CC,M,F53,6-Aug,BrF52-108,50360.1,50331.1,50360,50331,TBA
51640.1,CC,M,F53,8-Aug,BrF52-111,50472.1,50459.1,50472,50459,TBA
51610.1,CC,M,F53,6-Aug,BrF52-112,50462.1,50461.1,50462,50461,TBA
51790.1,CC,M,F53,DOB,BrF52-74,50294.1,50247.1,50294,50247,TBA
51606.1,CC,M,F53,4-Aug,BrF52-86,50332.1,50313.1,50332,50313,TBA
51802.1,CC,M,F53,30-Jul,BrF52-90,50218.1,50373.1,50218,50373,TBA
51601.1,BR,M,F53,30-Jul,BrF52-90,50218.1,50373.1,50218,50373,TBA
51639.1,AGR,F,F53,8-Aug,BrF52-111,50472.1,50459.1,50472,50459,F53-43
51647.1,AGR,F,F53,9-Aug,BrF52-106,50448.1,50361.1,50448,50361,F53-45
51655.1,WL,F,F53,TBA,BrF52-106,50448.1,50361.1,50448,50361,TBA
51293.1,TBA,F,F53,7-Jun,BrF52-54,50276.1,50239.1,50276,50239,TBA
51299.1,TBA,F,F53,10-Jun,BrF52-44,49468.1,50263.1,49468,50263,TBA
51622.1,BR,M,F53,6-Aug,BrF52-105,50442.1,50357.1,50442,50357,TBA
51632.1,CC,M,F53,TBA,BrF52-107,50398.1,50363.1,50398,50363,TBA
51638.1,CC,M,F53,TBA,BrF52-100,50308.1,50403.1,50308,50403,TBA
51792.1,CC,M,F53,TBA,BrF52-74,50294.1,50247.1,50294,50247,TBA
