idx1	idx2	sire	dam	sex	generation	k.grm	k.ped	ped.kin
29336.1	17	173	22530.1	22677.1	1	F40	0.076524943	0.54430182259574	22530 22677 29335 29336 31170 31171 31172
31170.1	17	341	29336.1	30604.1	2	F41	0.05365208991	0.469604476555623	29336 30604 31170 31171 31172 33769 33770
22530.11	18	17	23779.1	23776.1	1	F39	0.05724742652	0.543180700518152	22528 22529 22530 22531 29335 29336
22531.11	18	18	23779.1	23776.1	1	F39	0.5327594218	0.695757404606985	22528 22529 22530 22531 30046
30046.1	18	220	22531.1	25851.1	2	F40	0.07697634252	0.544534679884901	22531 25851 30046 35351 35352 35353
22532.1	19	19	24077.1	23778.1	2	F39	0.5134562275	0.694967388612158	22532 22533 22534 22535 30480 30481 30482
30480.1	19	264	25700.1	22532.1	2	F40	0.0716443614	0.544801997475927	22532 25700 30480 30481 30482 31404 31405 31406
30481.1	19	265	25700.1	22532.1	1	F40	0.0737483132	0.544801997475927	22532 25700 30480 30481 30482
22529.11	20	16	23779.1	23776.1	2	F39	0.05442221003	0.428459088534082	22528 22529 22530 22531
22533.11	20	20	24077.1	23778.1	2	F39	0.5552560859	0.694967388612158	22532 22533 22534 22535
22534.1	20	21	24077.1	23778.1	1	F39	0.07754054109	0.542272494152573	22532 22533 22534 22535
30478.11	20	262	28920.1	22524.1	2	F40	0.06375561686	0.393103658480433	22524 30478 30479
30479.1	20	263	28920.1	22524.1	1	F40	0.05245418783	0.393103658480433	22524 30478 30479 35965 35966 35967
30609.11	20	289	22527.1	28919.1	2	F40	0.08841470288	0.393103658480433	22527 28919 30609 30610 30611 31501 31502
30610.11	20	290	22527.1	28919.1	2	F40	0.07884819848	0.393103658480433	22527 28919 30609 30610 30611
30611.13	20	291	22527.1	28919.1	1	F40	0.0989329721	0.393103658480433	22527 28919 30609 30610 30611 31689 31690
22533.12	21	20	24077.1	23778.1	2	F39	0.07754054109	0.542272494152573	22532 22533 22534 22535
22534.11	21	21	24077.1	23778.1	1	F39	0.5220937349	0.694967388612158	22532 22533 22534 22535
30479.11	21	263	28920.1	22524.1	1	F40	0.07643267325	0.393103658480433	22524 30478 30479 35965 35966 35967
22535.1	22	22	24077.1	23778.1	1	F39	0.5152362644	0.694967388612158	22532 22533 22534 22535 29267 29268 29269
25699.1	22	92	24350.1	23740.1	1	F39	0.07078048849	0.394636606339696	25699 25700 30492 30493 30494
25700.1	22	93	24350.1	23740.1	1	F39	0.07909485862	0.394636606339696	25699 25700 30480 30481 30482
30033.1	22	208	22787.1	25698.1	1	F40	0.07899834212	0.398797355051622	22787 30033 30034 35254
30034.1	22	209	22787.1	25698.1	1	F40	0.07602657183	0.398797355051622	22787 30033 30034 35527 35528
22547.1	23	23	24375.1	23773.1	2	F39	0.7510742223	0.694854895704473	22547 22548 22549 22550
31437.1	23	363	30305.1	30484.1	2	F41	0.05746516944	0.408482908380163	30305 30484 31437 31438 31439
31682.1	23	388	30365.1	30492.1	2	F41	0.05529597551	0.396348380013746	30365 30492 31682 31683 31684 33887 33888 33889
33743.1	23	437	35251.1	31045.1	2	F42	0.050304136	0.397130483792593	31045 33742 33743 33744
33744.1	23	438	35251.1	31045.1	1	F42	0.07894919801	0.397130483792593	31045 33742 33743 33744 36356 36357 36358
33786.1	23	478	35309.1	31433.1	1	F42	0.05171833589	0.401428449390814	31433 33785 33786 35309
36362.1	23	605	33724.1	33747.1	2	F43	0.05076870759	0.406567211378669	33747 36362 36363 36364
46023.1	23	763	45318.1	45383.1	1	F50	0.07089262165	0.402360199135986	46022 46023 48311 48314 48361 48362 48373 48374 48383 48394 49405 49408
49482.1	23	1044	48462.1	48336.1	1	F52	0.05101943615	0.402145969184716	48332 48337 48464 49482 49485 50482 50485 50494 50497
22504.11	24	1	25139.1	23747.1	1	F39	0.0899654913	0.394855817991035	22504 29150 29151 30264
22548.11	24	24	24375.1	23773.1	2	F39	0.5315643745	0.694854895704473	22547 22548 22549 22550
29267.1	24	164	22535.1	22503.1	2	F40	0.07205866761	0.398055638766429	22535 29267 29268 29269 35354 35355
29268.1	24	165	22535.1	22503.1	2	F40	0.07649532811	0.398055638766429	22535 29267 29268 29269 31483 31484 31485
29269.1	24	166	22535.1	22503.1	1	F40	0.06556571536	0.398055638766429	22535 29267 29268 29269 35315 35317
35315.1	24	557	29269.1	30040.1	2	F41	0.05765691664	0.398346404939297	29269 30040 35315 35317
22549.1	25	25	24375.1	23773.1	1	F39	0.5395466174	0.694854895704473	22547 22548 22549 22550 29337 29338 29340
