id	sire	dam	sex	generation
562350	541360	542630	2	56
562360	542320	541850	1	56
562370	542280	541510	2	56
562400	541360	542630	1	56
562410	521760	542190	2	56
562440	542280	541510	1	56
562450	521060	542350	2	56
562480	521760	542190	1	56
562490	521100	542550	2	56
562520	521060	542350	1	56
562530	541800	542930	2	56
562560	521100	542550	1	56
562570	541440	542850	2	56
562600	541800	542930	1	56
562610	542680	541430	2	56
562640	541440	542850	1	56
562650	542540	543010	2	56
562680	542680	541430	1	56
562720	542540	543010	1	56
562730	542460	542470	2	56
562750	542360	542970	2	56
562760	542460	542470	1	56
562790	541880	542150	2	56
562800	542360	542970	1	56
562840	541880	542150	1	56
