"fam","id","sire","dam","sex"
"667",1,5298,2958,3254,"1"
"668",1,5305,2958,3254,"2"
"669",1,5345,2985,3064,"2"
"670",1,5348,2985,3064,"2"
"671",1,5350,2985,3064,"1"
"672",1,5432,3069,3074,"1"
"673",1,5434,3069,3074,"2"
"674",1,5436,3069,3074,"1"
"675",1,5496,3320,2976,"2"
"676",1,5503,3320,2976,"1"
"677",1,5507,3333,3378,"1"
"678",1,5510,3333,3378,"2"
"679",1,5525,3274,2960,"2"
"680",1,5528,3274,2960,"1"
"681",1,5530,3274,2960,"1"
"682",1,5570,3379,3345,"2"
"683",1,5571,3379,3345,"1"
"684",1,5572,3379,3345,"1"
"685",1,5580,3394,3387,"2"
"686",1,5581,3394,3387,"1"
"687",1,5588,3384,2782,"2"
"688",1,5589,3384,2782,"1"
"689",1,5591,3384,2782,"2"
"690",1,5601,2720,2676,"1"
"691",1,5612,3337,3055,"2"
"692",1,5617,2780,3475,"1"
"693",1,5619,2780,3475,"1"
"694",1,5621,2780,3475,"2"
"695",1,5627,3483,3329,"2"
"696",1,5637,3511,3269,"2"
"697",1,5644,3511,3269,"1"
"698",1,5646,3511,3269,"1"
"699",1,5657,3518,3504,"2"
"700",1,5658,3518,3504,"1"
"701",1,5676,3528,3512,"1"
"702",1,5689,3795,3818,"1"
"703",1,5690,3795,3818,"2"
"704",1,5706,3217,3529,"1"
"705",1,5707,3217,3529,"2"
"706",1,5741,3485,3661,"1"
"707",1,5747,3485,3661,"2"
"708",1,5750,3485,3661,"1"
"709",1,5757,3744,3225,"1"
"710",1,5761,3744,3225,"2"
"711",1,5765,3257,3667,"1"
"712",1,5776,3756,3494,"1"
"713",1,5783,3403,3762,"1"
"714",1,5784,3403,3762,"1"
"715",1,5785,3746,3777,"1"
"716",1,5788,3746,3777,"2"
"717",1,5792,3746,3777,"2"
"718",1,5814,3505,3803,"2"
"719",1,5817,3505,3803,"2"
"720",1,5822,3209,3645,"2"
"721",1,5823,3209,3645,"1"
"722",1,5829,3209,3645,"2"
"723",1,5832,3080,3617,"1"
"724",1,5835,3080,3617,"2"
"725",1,5843,3610,3743,"2"
"726",1,5844,3610,3743,"1"
"727",1,5867,3059,3835,"1"
"728",1,5870,3059,3835,"2"
"729",1,5880,3270,3605,"2"
"730",1,5883,3270,3605,"1"
"731",1,5939,3838,3281,"1"
"732",1,5941,3838,3281,"2"
"733",1,5958,3235,3941,"2"
"734",1,5961,3235,3941,"1"
"735",1,6020,3948,3207,"1"
"736",1,6024,3948,3207,"2"
"737",1,6028,3948,3207,"2"
"738",1,6046,3304,4043,"2"
"739",1,6051,3304,4043,"2"
"740",1,6053,3775,4044,"2"
"741",1,6058,3775,4044,"1"
"742",1,6062,4041,3414,"1"
"743",1,6070,4041,3414,"2"
"744",1,6094,4025,3400,"2"
"745",1,6096,4025,3400,"1"
"746",1,6110,4014,3680,"1"
"747",1,6117,4014,3680,"2"
"748",1,6122,3409,4058,"2"
"749",1,6126,3409,4058,"2"
"750",1,6130,3409,4058,"1"
"751",1,6158,3869,3293,"1"
"752",1,6166,3869,3293,"1"
"753",1,6169,3869,3293,"2"
"754",1,6176,4054,4110,"2"
"755",1,6201,3672,4208,"2"
"756",1,6231,4187,4350,"1"
"757",1,6233,4187,4350,"1"
"758",1,6236,4274,4295,"2"
"759",1,6238,4274,4295,"1"
"760",1,6239,4274,4295,"2"
"761",1,6261,4333,4078,"2"
"762",1,6265,4333,4078,"1"
"763",1,6282,3765,4109,"1"
"764",1,6291,3950,4143,"1"
"765",1,6292,3950,4143,"1"
"766",1,6293,3950,4143,"2"
"767",1,6303,2785,4100,"2"
"768",1,6327,3606,4243,"1"
"769",1,6333,4138,4256,"2"
"770",1,6341,4138,4256,"1"
"771",1,6344,4138,4256,"1"
"772",1,6346,4258,3867,"1"
"773",1,6347,4258,3867,"2"
"774",1,6349,4258,3867,"2"
"775",1,6378,4104,3488,"1"
"776",1,6387,4080,3526,"2"
"777",1,6388,4080,3526,"1"
"778",1,6394,4165,3759,"2"
"779",1,6398,4165,3759,"1"
"780",1,6403,4071,4302,"2"
"781",1,6405,4071,4302,"1"
"782",1,6406,4071,4302,"1"
"783",1,6414,3632,4180,"1"
"784",1,6418,4046,4331,"2"
"785",1,6424,4046,4331,"1"
"786",1,6433,4346,4139,"2"
"787",1,6435,4346,4139,"1"
"788",1,6441,4082,4026,"2"
"789",1,6458,3636,4020,"2"
"790",1,6462,3636,4020,"1"
"791",1,6475,4264,4424,"2"
"792",1,6481,4264,4424,"2"
"793",1,6495,4419,4267,"1"
"794",1,6505,4306,3747,"2"
"795",1,6507,4306,3747,"2"
"796",1,6550,3496,4157,"2"
"797",1,6554,3496,4157,"1"
"798",1,6605,3872,3628,"1"
"799",1,6606,3872,3628,"2"
"800",1,6740,4887,4831,"1"
"801",1,6741,4887,4831,"2"
"802",1,6745,4887,4831,"2"
"803",1,6751,4909,4826,"2"
"804",1,6752,4909,4826,"1"
"805",1,6755,4909,4826,"1"
"806",1,6876,4589,4900,"2"
"807",1,6881,4589,4900,"1"
"808",1,6891,4970,4917,"1"
"809",1,6892,4970,4917,"2"
"810",1,6943,4573,4715,"1"
"811",1,6945,4573,4715,"1"
"812",1,6954,4688,4585,"1"
"813",1,6957,4688,4585,"2"
"814",1,6959,4688,4585,"2"
"815",1,6981,4823,4691,"2"
"816",1,6989,5058,4833,"1"
"817",1,6990,5058,4833,"2"
"818",1,6999,5066,5060,"1"
"819",1,7004,5066,5060,"2"
"820",1,7006,5084,4921,"1"
"821",1,7014,5113,4590,"1"
"822",1,7015,5113,4590,"1"
"823",1,7024,5006,5135,"2"
"824",1,7027,5006,5135,"1"
"825",1,7028,5006,5135,"2"
"826",1,7073,5056,5305,"1"
"827",1,7074,5056,5305,"1"
"828",1,7082,5056,5305,"2"
"829",1,7117,5196,5434,"1"
"830",1,7136,5507,4639,"2"
"831",1,7146,5507,4639,"1"
"832",1,7210,4716,5018,"2"
"833",1,7216,4716,5018,"1"
"834",1,7222,5050,4889,"2"
"835",1,7227,4976,5111,"2"
"836",1,7228,4976,5111,"2"
"837",1,7235,4976,5111,"1"
"838",1,7319,4828,5007,"1"
"839",1,7348,4640,5070,"1"
