"id" "sex" "generation" "sire" "dam"
3403 "M" "F4" 1231 1510
3409 "M" "F4" 1387 1261
3414 "F" "F4" 1387 1261
3475 "F" "F4" 1539 1541
3483 "M" "F4" 1539 1541
3485 "M" "F4" 1532 1586
3488 "F" "F4" 1532 1586
3494 "F" "F4" 1391 1419
3496 "M" "F4" 1391 1419
3504 "F" "F4" 1561 1198
3505 "M" "F4" 1561 1198
3511 "M" "F4" 1365 1550
3512 "F" "F4" 1365 1550
3518 "M" "F4" 1313 1664
3526 "F" "F4" 1313 1664
3528 "M" "F4" 1588 1577
3529 "F" "F4" 1588 1577
3605 "F" "F4" 1604 1225
3606 "M" "F4" 1604 1225
3610 "M" "F4" 1575 1569
3617 "F" "F4" 1575 1569
3628 "F" "F4" 1477 1411
3632 "M" "F4" 1477 1411
3636 "M" "F4" 1699 1623
3645 "F" "F4" 1699 1623
3661 "F" "F4" 1526 1540
3667 "F" "F4" 1525 1563
3672 "M" "F4" 1525 1563
3680 "F" "F4" 1530 1466
3743 "F" "F4" 1207 1597
3744 "M" "F4" 1207 1597
3746 "M" "F4" 1638 1677
3747 "F" "F4" 1638 1677
3756 "M" "F4" 1381 1685
3759 "F" "F4" 1381 1685
3762 "F" "F4" 1609 1202
3765 "M" "F4" 1609 1202
3775 "M" "F4" 1619 1332
3777 "F" "F4" 1619 1332
3795 "M" "F4" 1688 1612
3803 "F" "F4" 1688 1612
3818 "F" "F4" 1060 1422
3835 "F" "F4" 1585 1734
3838 "M" "F4" 1585 1734
3867 "F" "F4" 1530 1310
3869 "M" "F4" 1754 1594
3872 "M" "F4" 1754 1594
3941 "F" "F4" 1747 1782
3948 "M" "F4" 1747 1782
3950 "M" "F4" 1668 1839
4014 "M" "F4" 1521 1789
4020 "F" "F4" 1721 1762
4025 "M" "F4" 1729 1831
4026 "F" "F4" 1729 1831
4041 "M" "F4" 1825 1708
4043 "F" "F4" 1825 1708
4044 "F" "F4" 1819 1696
4046 "M" "F4" 1819 1696
4054 "M" "F4" 1834 1738
4058 "F" "F4" 1834 1738
4071 "M" "F4" 1885 1817
4078 "F" "F4" 1885 1817
4080 "M" "F4" 1862 1766
4082 "M" "F4" 1862 1766
4100 "F" "F4" 1566 1855
4104 "M" "F4" 1566 1855
4109 "F" "F4" 1848 1927
4110 "F" "F4" 1848 1927
4138 "M" "F4" 1899 1884
4139 "F" "F4" 1899 1884
4143 "F" "F4" 1961 1799
4157 "F" "F4" 1973 1775
4165 "M" "F4" 1973 1775
4180 "F" "F4" 1949 1943
4187 "M" "F4" 1949 1943
4208 "F" "F4" 1893 1644
4243 "F" "F4" 1629 1959
4256 "F" "F4" 1655 1919
4258 "M" "F4" 1655 1919
4264 "M" "F4" 1791 1894
4267 "F" "F4" 1791 1894
4274 "M" "F4" 1672 1750
4295 "F" "F4" 1917 1826
4302 "F" "F4" 1800 1868
4306 "M" "F4" 1800 1868
4331 "F" "F4" 1876 1970
4333 "M" "F4" 1876 1970
4346 "M" "F4" 1778 1626
4350 "F" "F4" 1778 1626
4419 "M" "F4" 1857 1645
4424 "F" "F4" 1857 1645
4571 "F" "F5" 2549 2538
4573 "M" "F5" 2549 2538
4585 "F" "F5" 2561 2291
4589 "M" "F5" 2561 2291
4590 "F" "F5" 2561 2291
4639 "F" "F5" 2401 2215
