id	glu.age	glu.weight	glucose	rip.age	rip.weight	tail	wild	brain
50288	84	35.3	82	88	35.6	7.7	1	y
50293	83	19.2	46	87	20.2	7.4	0	n
50296	83	33.3	125	87	34.2	8.5	1	n
50299	80	24.9	103	84	25.3	7.9	0	y
50300	80	37.9	137	84	39.2	8.2	0	n
50303	80	22.1	112	84	22.6	7.7	0	n
50304	80	29.2	96	84	29.7	7.6	0	y
50310	80	35	104	84	35.4	7.7	0	n
50311	75	24.4	111	79	23.9	7.1	0	y
50315	75	23	119	79	23.8	7.8	0	n
50316	75	35.6	76	79	36.1	8.5	0	n
50322	75	32.1	92	79	32.5	8.1	0	y
50326	75	41.3	143	79	41	8.1	0	n
50327	75	22.8	106	79	23.3	7.3	1	n
50330	75	32.7	91	79	32.8	8.2	0	n
50333	75	21	68	79	21.7	7.2	1	y
50335	75	22.4	104	79	23.2	7.3	2	n
50336	75	30.3	102	79	31.9	8.1	0	n
50340	75	28	75	79	29.3	8.4	0	y
50341	73	20.9	83	77	2	7.2	7	n
50344	73	32.4	103	77	32.4	7.3	0	n
50345	73	28.2	61	77	27.4	7.5	0	n
50348	73	39.1	96	77	38.9	7.3	0	y
50351	73	20.1	84	77	21	8.2	5	n
50354	73	31.3	80	77	32.3	8.2	0	n
50355	73	19.4	80	77	20.2	7.5	0	y
50358	73	28.3	101	77	29.8	7.9	0	n
50359	73	30.4	84	81	30.5	8.5	0	y
50364	72	32.1	100	80	33.8	7.5	0	n
50365	72	22	56	80	23.6	7.4	0	n
50369	72	24.2	59	80	25.5	7.6	1	n
50370	72	29.7	84	80	31.3	8	0	n
50374	72	25.1	36	80	28.9	8.4	0	y
50375	72	20.3	32	80	21.7	7.3	0	n
50377	73	23	81	81	24.6	7.3	0	y
50382	69	34.2	155	77	35.2	8.2	0	n
50383	69	25.8	63	77	26.2	7.5	0	y
50385	70	29.5	87	78	29.4	7.9	0	n
50386	70	29.3	97	78	31.3	8	0	y
50390	70	31.6	85	78	32.3	8.1	0	n
50391	70	21.6	99	78	22.7	7.5	1	n
50396	69	38.9	93	77	40.3	8.5	0	n
50397	69	22.3	71	77	23	7.4	0	n
50404	69	28.7	92	77	30.7	7.6	5	n
50405	69	21.3	47	77	23	7.2	0	y
50406	69	29.2	78	77	29.6	7.6	0	n
50407	69	21.9	108	77	21.9	7.1	0	n
50411	68	23.6	65	76	24.9	7.8	0	n
50412	68	33.3	136	76	35	8.3	0	n
50417	68	25.2	90	76	25.8	8.1	0	n
50419	64	21	84	72	20.5	8.5	0	n
50420	68	26.6	95	76	28.1	8.2	2	y
50421	65	37	106	73	40.1	7.9	0	n
50429	63	20.9	61	71	20.7	7.5	6	y
50430	65	33.2	90	73	33	8.3	0	y
50431	58	22	78	66	22.1	8.2	0	n
50432	63	26.8	95	71	28.2	7.4	0	n
50474	74	30.9	96	81	33	8.2	0	n
50475	74	25.2	77	81	26.6	8	0	y
50478	74	27.8	57	81	32.7	8.3	0	n
50479	74	19.2	45	81	20.5	8	0	n
50482	75	29.8	121	82	31.3	8.1	0	n
50485	75	23	95	82	22.9	7.9	0	n
50486	75	29.2	95	82	31.3	8.4	0	y
