id,gen,cage,fam,dam,sire,sex,ppi.weight,ppi.age,
48342,51,Test.F51-14,  BrF50-03,46067,26574,M,34,70,
48344,51,Test.F51-06,BrF50-32,46176,46030,M,28.1,67,
48345,51,Test.F51-05,BrF50-32,46176,46030,F,24.2,67,
48347,51,Test.F51-05,BrF50-02,46034,46201,F,21.6,68,
48348,51,Test.F51-06,BrF50-02,46034,46201,M,26.6,68,
48352,51,Test.F51-06,BrF50-35,46187,46169,M,31.1,68,
48353,51,Test.F51-05,BrF50-35,46187,46169,F,20.7,68,
48355,51,Test.F51-05,BrF50-17,46043,46090,F,21.2,65,
48358,51,Test.F51-06,BrF50-17,46043,46090,M,28.8,65,
48361,51,Test.F51-07,BrF50-13,46120,46179,F,22,69,
48362,51,Test.F51-08,BrF50-13,46120,46179,M,29,69,
48365,51,Test.F51-07,BrF50-22,46054,46055,F,23,69,
48366,51,Test.F51-08,BrF50-22,46054,46055,M,29.3,69,
48369,51,Test.F51-07,BrF50-19,46048,46057,F,18.3,68,
48370,51,Test.F51-08,BrF50-19,46048,46057,M,27,68,
48373,51,Test.F51-07,BrF50-12,46118,46346,F,20.7,70,
48374,51,Test.F51-08,BrF50-12,46118,46346,M,24.1,70,
48377,51,Test.F51-09,BrF50-11,46105,46214,F,22.9,67,
48379,51,Test.F51-09,BrF50-23,46072,46078,F,23.9,69,
48381,51,Test.F51-09,BrF50-06,46079,46217,F,20.4,69,
48382,51,Test.F51-10,BrF50-11,46105,46214,M,30.2,67,
48383,51,Test.F51-09,BrF50-14,46121,46112,F,21,69,
48384,51,Test.F51-10,BrF50-23,46072,46078,M,27.5,69,
48387,51,Test.F51-11,BrF50-29,46095,46089,F,18.3,65,
48390,51,Test.F51-10,BrF50-06,46079,46217,M,26.1,69,
48391,51,Test.F51-11,BrF50-09,46103,46098,F,25.2,69,
48394,51,Test.F51-10,BrF50-14,46121,46112,M,28.6,69,
48395,51,Test.F51-11,BrF50-26,46091,46097,F,21.6,68,
48398,51,Test.F51-12,BrF50-29,46095,46089,M,21.7,65,
48399,51,Test.F51-11,BrF50-18,46047,46056,F,21.1,69,
48402,51,Test.F51-12,BrF50-09,46103,46098,M,29.2,69,
48406,51,Test.F51-12,BrF50-26,46091,46097,M,30.4,68,
48408,51,Test.F51-12,BrF50-18,46047,46056,M,23.6,69,
48409,51,Test.F51-13,BrF50-20,46049,46180,F,21.3,67,
48411,51,Test.F51-13,BrF50-10,46104,46087,F,22.2,71,
48412,51,Test.F51-16,BrF50-20,46049,46180,M,26.9,67,
48416,51,Test.F51-16,BrF50-10,46104,46087,M,31.5,71,
48417,51,Test.F51-13,BrF50-17,46043,46090,F,21.2,65,
48420,51,Test.F51-16,BrF50-16,46041,46200,M,29.2,68,
48423,51,Test.F51-17,BrF50-31,46175,46218,F,22.2,61,
48425,51,Test.F51-17,BrF50-28,46094,46084,F,23,59,
48426,51,Test.F51-18,BrF50-31,46175,46218,M,28.3,61,
48432,51,Test.F51-18,BrF50-28,46094,46084,M,24.9,59,
48436,51,Test.F51-20,BrF50-37,46191,46160,M,25.9,69,
48439,51,Test.F51-19,BrF50-37,46191,46160,F,18.6,69,
48441,51,Test.F51-19,BrF50-38,46192,46111,F,24.6,69,
48443,51,Test.F51-19,BrF50-3,46067,26574,F,21.1,69,
48444,51,Test.F51-20,BrF50-66,46219,46038,M,22.4,69,
48445,51,Test.F51-19,BrF50-66,46219,46038,F,15.6,69,
48447,51,Test.F51-21,BrF50-40,46198,46225,F,19.9,69,
48449,51,Test.F51-21,BrF50-43,46208,46074,F,21.8,69,
48452,51,Test.F51-20,BrF50-40,46198,46225,M,28.6,69,
48456,51,Test.F51-20,BrF50-43,46208,46074,M,31.6,69,
48464,51,Test.F51-22,BrF50-58,46301,46061,M,37.6,69,
48468,51,Test.F51-22,BrF50-61,46351,46075,M,31.2,68,
48472,51,Test.F51-22,BrF50-64,46367,46070,M,24.7,68,
48473,51,Test.F51-25,BrF50-56,46305,46207,F,20.4,68,
48475,51,Test.F51-25,BrF50-48,46173,46384,F,21.5,68,
48477,51,Test.F51-25,BrF50-41,46199,46213,F,21.7,67,
48478,51,Test.F51-22,BrF50-63,46359,46174,M,20,68,
48479,51,Test.F51-25,BrF50-62,46355,46029,F,21.3,68,
48482,51,Test.F51-24,BrF50-65,46385,46222,M,30.1,68,
48486,51,Test.F51-24,BrF50-56,46305,46207,M,29.1,68,
48489,51,Test.F51-27,BrF50-57,46343,46077,F,23.9,69,
48490,51,Test.F51-24,BrF50-48,46173,46384,M,30.4,68,
48494,51,Test.F51-24,BrF50-41,46199,46213,M,30.5,67,
48495,51,Test.F51-27,BrF50-39,46196,46110,F,19.9,68,
48496,51,Test.F51-26,BrF50-62,46355,46029,M,28.7,68,
49003,51,Test.F51-27,BrF50-50,46161,46350,F,18.3,67,
49004,51,Test.F51-26,BrF50-57,46343,46077,M,27.9,69,
49007,51,Test.F51-27,BrF50-55,46303,46197,F,26.9,67,
49008,51,Test.F51-26,BrF50-39,46196,46110,M,30.9,68,
49011,51,Test.F51-29,BrF50-69,46373,46167,F,27.2,67,
49012,51,Test.F51-26,BrF50-50,46161,46350,M,24.1,67,
49015,51,Test.F51-29,BrF50-70,46037,46440,F,21.5,67,
49016,51,Test.F51-28,BrF50-55,46303,46197,M,30.7,67,
49019,51,Test.F51-29,BrF50-36,46188,46031,F,23.2,67,
49020,51,Test.F51-28,BrF50-69,46373,46167,M,32.8,67,
