id	tissue	samp.id	lib.name	index	rin	con.RNA	lib.size	con.cDNA	sex	age																		
54266	hip	hip54266	AIL_RNA6c	11	9.4	249.36	282	7.93																				
52162	hip	hip52162	AIL_RNA7a	14	9.2	248.54	302	12.02																				
52107	hip	hip52107	AIL_RNA5d	18	9.0	246.48	292	9.34																				
54336	hip	hip54336	AIL_RNA6b	23	9.1	244.10	286	16.30																				
54371	hip	hip54371	AIL_RNA6b	6	9.3	242.03	286	25.67																				
54243	hip	hip54243	AIL_RNA6d	27	9.4	241.32	299	21.34																				
49231	hip	hip49231	AIL_RNA7a	11	9.0	237.69	291	10.57																				
54323	hip	hip54323	AIL_RNA6c	7	9.4	236.73	293	11.95																				
52045	hip	hip52045	AIL_RNA6c	18	9.0	231.87	284	6.02																				
54359	hip	hip54359	AIL_RNA6c	23	9.1	228.80	296	30.11																				
50095	hip	hip50095	AIL_RNA6b	12	8.8	227.03	296	22.60																				
50749	hip	hip50749	AIL_RNA7b	2	9.0	224.48	286	22.62																				
51240	hip	hip51240	AIL_RNA7b	3	8.9	222.17	284	8.75																				
49245	hip	hip49245	AIL_RNA7d	15	9.1	217.14	284	8.18																				
49262	hip	hip49262	AIL_RNA7c	16	9.0	216.00	316	21.77																				
50793	hip	hip50793	AIL_RNA7c	22	8.9	207.12	302	24.54																				
50752	hip	hip50752	AIL_RNA6b	18	9.0	198.31	289	12.16																				
49293	hip	hip49293	AIL_RNA7a	10	9.2	188.01	294	18.12																				
50078	hip	hip50078	AIL_RNA7b	14	9.1	180.78	281	16.37																				
49240	hip	hip49240	AIL_RNA7c	9	9.2	166.17	271	10.96																				
48362	hip	hip48362	AIL_RNA7a	1	8.9	399.68	277	16.95																				
46434	hip	hip46434	AIL_RNA9b	5	8.8	163.13	290	11.56																				
46153	hip	hip46153	AIL_RNA7c	6	9.3	380.19	288	31.93																				
50377	hip	hip50377	AIL_RNA7b	8	9.3	375.58	287	18.12																				
26583	hip	hip26583	AIL_RNA6d	15	9.1	370.60	290	25.50																				
50486	hip	hip50486	AIL_RNA7d	25	8.9	345.06	289	13.13																				
50708	hip	hip50708	AIL_RNA6d	16	9.2	329.98	289	18.31																				
50729	hip	hip50729	AIL_RNA6d	9	9.3	319.20	289	18.23																				
46142	hip	hip46142	AIL_RNA6d	10	9.2	316.66	293	33.92																				
50723	hip	hip50723	AIL_RNA7a	16	9.1	292.50	287	23.99																				
46154	hip	hip46154	AIL_RNA6d	11	9.2	292.17	294	22.23																				
50701	hip	hip50701	AIL_RNA7a	13	9.2	283.46	293	20.89																				
26592	hip	hip26592	AIL_RNA7d	23	8.9	277.90	296	21.67																				
46461	hip	hip46461	AIL_RNA6d	20	9.0	277.79	293	22.36																				
46454	hip	hip46454	AIL_RNA9a	1	9.1	275.87	286	38.29																				
46372	hip	hip46372	AIL_RNA7b	27	8.8	271.15	307	11.95																				
52132	hip	hip52132	AIL_RNA9c	1	8.7	226.53	291	17.18																				
46134	hip	hip46134	AIL_RNA6b	7	9.3	259.45	300	16.89																				
48304	hip	hip48304	AIL_RNA7c	15	9.1	239.41	289	20.85																				
46141	hip	hip46141	AIL_RNA9a	19	9.1	233.10	293	29.69																				
46130	hip	hip46130	AIL_RNA8d	10	9.2	232.40	288	14.68																				
54130	hip	hip54130	AIL_RNA9a	27	8.7	287.16	212	7.76																				
46474	hip	hip46474	AIL_RNA7a	12	9.2	213.50	272	13.40																				
46027	hip	hip46027	AIL_RNA7b	7	9.3	202.76	279	22.91																				
46341	hip	hip46341	AIL_RNA7b	16	9.1	201.26	289	23.67																				
46451	hip	hip46451	AIL_RNA9b	20	9.0	157.39	212	8.10																				
46157	hip	hip46157	AIL_RNA8a	22	9.1	151.80	209	6.73																				
49485	hip	hip49485	AIL_RNA8c	6	9.5	214.95	208	5.60																				
49416	hip	hip49416	AIL_RNA8d	7	9.6	263.55	267	11.30																				
49453	hip	hip49453	AIL_RNA8c	8	9.4	381.76	287	8.76																				
54213	hip	hip54213	AIL_RNA7d	2	8.7	311.29	289	24.44																				
51621	hip	hip51621	AIL_RNA8c	3	8.7	330.31	293	26.35																				
52173	hip	hip52173	AIL_RNA9d	1	8.6	251.31	285	24.30																				
51604	hip	hip51604	AIL_RNA9b	4	8.6	220.94	283	35.30																				
50383	hip	hip50383	AIL_RNA9b	6	8.6	357.84	206	2.93																				
52152	hip	hip52152	AIL_RNA8b	9	8.5	330.07	280	21.53																				
46128	hip	hip46128	AIL_RNA9b	10	8.5	337.19	281	9.31																				
51281	hip	hip51281	AIL_RNA7d	11	8.5	346.90	288	27.84																				
51294	hip	hip51294	AIL_RNA9c	12	8.5	324.33	202	2.64																				
52012	hip	hip52012	AIL_RNA7d	13	8.4	211.84	296	12.30																				
48305	hip	hip48305	AIL_RNA9a	10	8.4	424.45	277	23.64																				
46429	hip	hip46429	AIL_RNA9a	7	8.4	332.98	289	16.58																				
51263	hip	hip51263	AIL_RNA7d	14	8.4	395.93	282	25.88																				
51254	hip	hip51254	AIL_RNA8c	12	8.4	350.31	287	19.02																				
51309	hip	hip51309	AIL_RNA9a	3	8.4	307.71	287	12.17																				
50340	hip	hip50340	AIL_RNA9b	11	8.4	294.49	286	22.69																				
50158	hip	hip50158	AIL_RNA8b	13	8.4	231.11	284	13.19																				
51368	hip	hip51368	AIL_RNA9a	2	8.3	303.83	298	25.77																				
48326	hip	hip48326	AIL_RNA9b	15	8.3	278.71	293	22.48																				
46672	hip	hip46672	AIL_RNA9b	8	8.3	236.44	303	19.88																				
50153	hip	hip50153	AIL_RNA8a	18	8.3	312.01	283	18.57																				
51634	hip	hip51634	AIL_RNA8a	19	8.2	337.61	294	9.12																				
48398	hip	hip48398	AIL_RNA9a	20	8.2	400.46	289	7.55																				
48395	hip	hip48395	AIL_RNA8b	14	8.2	328.31	293	25.48																				
48390	hip	hip48390	AIL_RNA8b	18	8.2	288.41	283	20.27																				
48441	hip	hip48441	AIL_RNA9b	7	8.2	271.74	298	24.29																				
48325	hip	hip48325	AIL_RNA9a	21	8.2	249.23	282	19.79																				
48426	hip	hip48426	AIL_RNA9a	22	8.2	202.98	290	22.00																				
50333	hip	hip50333	AIL_RNA8b	21	8.2	204.98	305	14.89																				
51420	hip	hip51420	AIL_RNA8d	2	8.1	346.47	284	6.52																				
48412	hip	hip48412	AIL_RNA9b	3	8.1	316.63	314	17.80																				
48425	hip	hip48425	AIL_RNA9a	8	8.1	148.42	284	27.11																				
48311	hip	hip48311	AIL_RNA9a	11	8.1	300.03	276	9.73																				
51307	hip	hip51307	AIL_RNA9b	22	8.1	287.99	276	9.44																				
48456	hip	hip48456	AIL_RNA8a	23	8.0	343.31	285	14.44																				
49016	hip	hip49016	AIL_RNA9a	25	8.0	342.27	283	2.60																				
49048	hip	hip49048	AIL_RNA8a	27	8.0	326.05	283	6.31																				
49015	hip	hip49015	AIL_RNA9c	5	8.0	316.85	285	44.92																				
46644	hip	hip46644	AIL_RNA8c	14	8.0	277.63	289	19.46																				
51258	hip	hip51258	AIL_RNA9c	15	8.0	396.05	309	11.89																				
48495	hip	hip48495	AIL_RNA9b	16	8.0	169.44	284	17.05																				
49226	hip	hip49226	AIL_RNA8b	20	8.0	207.06	282	20.76																				
54384	hip	hip54384	AIL_RNA9b	1	8.9	269.30	280	15.46																				
54853	hip	hip54853	AIL_RNA8c	2	8.9	363.36	296	30.90																				
54396	hip	hip54396	AIL_RNA8d	3	9.0	348.29	284	14.19																				
54822	hip	hip54822	AIL_RNA8d	4	9.0	278.64	267	13.85																				
54375	hip	hip54375	AIL_RNA9a	5	9.1	296.07	301	15.01																				
54809	hip	hip54809	AIL_RNA9a	6	9.0	388.92	289	20.08																				
54862	hip	hip54862	AIL_RNA9c	8	9.3	444.74	288	7.12																				
56276	hip	hip56276	AIL_RNA9a	9	9.2	282.73	287	28.93																				
56203	hip	hip56203	AIL_RNA8c	10	9.2	288.70	277	19.58																				
56273	hip	hip56273	AIL_RNA8c	11	9.0	262.29	278	15.08																				
54884	hip	hip54884	AIL_RNA9a	12	9.1	318.41	302	7.61																				
56240	hip	hip56240	AIL_RNA9b	13	9.1	341.28	285	46.15																				
54864	hip	hip54864	AIL_RNA8b	19	8.9	368.52	288	7.46																				
56207	hip	hip56207	AIL_RNA8a	20	9.0	234.28	287	9.43																				
56257	hip	hip56257	AIL_RNA8a	21	9.2	283.93	280	17.42																				
56224	hip	hip56224	AIL_RNA9b	12	9.4	136.39	291	52.04																				
56268	hip	hip56268	AIL_RNA9c	13	9.2	258.36	286	37.41																				
56237	hip	hip56237	AIL_RNA9a	14	9.2	269.57	277	40.03																				
56227	hip	hip56227	AIL_RNA9a	15	9.5	185.30	283	45.29																				
54883	hip	hip54883	AIL_RNA9a	16	9.6	258.71	289	29.26																				
54397	hip	hip54397	AIL_RNA9a	13	9.5	239.77	286	17.21																				
54896	hip	hip54896	AIL_RNA9a	18	9.4	292.67	280	40.07																				
50299	pfc	pfc50299	AIL_RNA2a	2	9.1	443.30	297	10.98																				
50322	pfc	pfc50322	AIL_RNA2b	3	9.3	437.45	290	18.77																				
46429	pfc	pfc46429	AIL_RNA2c	4	9.1	388.84	289	2.21																				
50158	pfc	pfc50158	AIL_RNA2c	5	9.5	371.26	303	3.50																				
51375	pfc	pfc51375	AIL_RNA2b	6	9.9	362.39	294	7.50																				
46454	pfc	pfc46454	AIL_RNA2b	7	9.1	357.62	288	13.13																				
49435	pfc	pfc49435	AIL_RNA3a	8	9.1	350.66	292	11.28																				
51603	pfc	pfc51603	AIL_RNA2b	9	10.0	348.94	287	7.61																				
50265	pfc	pfc50265	AIL_RNA5d	10	9.6	343.79	292	1.22																				
50348	pfc	pfc50348	AIL_RNA2c	11	9.2	337.84	295	2.18																				
50122	pfc	pfc50122	AIL_RNA5d	12	9.2	333.81	287	0.95																				
50168	pfc	pfc50168	AIL_RNA2d	13	9.5	328.83	308	4.04																				
46434	pfc	pfc46434	AIL_RNA2d	14	9.1	320.85	304	3.91																				
50153	pfc	pfc50153	AIL_RNA2d	15	9.3	319.06	301	3.44																				
50223	pfc	pfc50223	AIL_RNA2d	16	9.5	316.36	306	5.88																				
51634	pfc	pfc51634	AIL_RNA2c	18	9.8	315.66	288	13.16																				
49426	pfc	pfc49426	AIL_RNA2a	19	9.4	314.32	286	16.42																				
50107	pfc	pfc50107	AIL_RNA2c	20	9.1	304.45	288	5.09																				
50340	pfc	pfc50340	AIL_RNA2c	21	9.3	301.49	290	11.61																				
49414	pfc	pfc49414	AIL_RNA1	22	9.4	298.39	293	19.47																				
51616	pfc	pfc51616	AIL_RNA1	23	9.8	293.17	283	12.01																				
49452	pfc	pfc49452	AIL_RNA1	25	9.2	291.02	290	14.44																				
50147	pfc	pfc50147	AIL_RNA1	27	9.4	290.84	291	22.55																				
50258	pfc	pfc50258	AIL_RNA1	1	9.3	289.47	307	24.97																				
46372	pfc	pfc46372	AIL_RNA1	2	9.1	285.16	306	19.50																				
46368	pfc	pfc46368	AIL_RNA1	3	9.2	274.89	289	22.45																				
51621	pfc	pfc51621	AIL_RNA1	4	9.5	271.82	300	21.42																				
51361	pfc	pfc51361	AIL_RNA2b	5	9.2	268.64	301	25.24																				
49485	pfc	pfc49485	AIL_RNA2a	6	9.2	263.35	295	17.09																				
49490	pfc	pfc49490	AIL_RNA2d	7	9.3	262.58	287	15.88																				
